ANSHUBANK TRANSACTION REPORT

Transaction[transactionId=WDR1789223967912E53F, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=25000.00, timestamp=2026-09-12T20:09:27.912231, status=FLAGGED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.20000.00 | Transaction is 125.00% of account balance]
Transaction[transactionId=WDR17892239675308E08, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=30000.00, timestamp=2026-09-12T20:09:27.535219, status=FLAGGED, riskScore=40, riskLevel=MEDIUM, description=Balance: Rs.50000.00 | Large transaction relative to account balance (60.00%)]
Transaction[transactionId=TRF1789221925336E7E2, sourceAccountId=SB10001, destinationAccountId=SB92707112, type=TRANSFER, amount=50000.00, timestamp=2026-09-12T19:35:25.340715, status=FLAGGED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.50000.00 | Transaction is 100.00% of account balance]
Transaction[transactionId=TRF1789221018179D5E3, sourceAccountId=SB10001, destinationAccountId=SB92707112, type=TRANSFER, amount=60000.00, timestamp=2026-09-12T19:20:18.179215, status=COMPLETED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.60000.00 | Transaction is 100.00% of account balance]
Transaction[transactionId=TRF1789220972736D0E1, sourceAccountId=SB10001, destinationAccountId=SB92707112, type=TRANSFER, amount=49000.00, timestamp=2026-09-12T19:19:32.736467, status=COMPLETED, riskScore=20, riskLevel=LOW, description=Balance: Rs.109000.00 | Transaction represents 44.95% of account balance]
Transaction[transactionId=DEP17892209062464E41, sourceAccountId=SB10001, destinationAccountId=null, type=DEPOSIT, amount=49000.00, timestamp=2026-09-12T19:18:26.246895, status=COMPLETED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.60000.00 | Transaction is 81.67% of account balance]
Transaction[transactionId=TRF17892202382937A09, sourceAccountId=SB10001, destinationAccountId=SB82418833, type=TRANSFER, amount=10000.00, timestamp=2026-09-12T19:07:18.294032, status=COMPLETED, riskScore=0, riskLevel=LOW, description=Balance: Rs.70000.00 | Transaction appears normal for this account]
Transaction[transactionId=DEP1789220009926BDF7, sourceAccountId=SB10001, destinationAccountId=null, type=DEPOSIT, amount=20000.00, timestamp=2026-09-12T19:03:29.933115, status=COMPLETED, riskScore=20, riskLevel=LOW, description=Balance: Rs.50000.00 | Transaction represents 40.00% of account balance]
Transaction[transactionId=WDR17892179677767FF1, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=70000.00, timestamp=2026-09-12T18:29:27.776852, status=COMPLETED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.70000.00 | Transaction is 100.00% of account balance]
Transaction[transactionId=DEP17892168144932FFC, sourceAccountId=SB10001, destinationAccountId=null, type=DEPOSIT, amount=20000.00, timestamp=2026-09-12T18:10:14.497665, status=COMPLETED, riskScore=20, riskLevel=LOW, description=Balance: Rs.50000.00 | Transaction represents 40.00% of account balance]
Transaction[transactionId=DEP17891927296665F63, sourceAccountId=SB10001, destinationAccountId=null, type=DEPOSIT, amount=50000.00, timestamp=2026-09-12T11:28:49.666656, status=COMPLETED, riskScore=0, riskLevel=LOW, description=Balance: Rs.0.00 | Transaction appears normal for this account]
Transaction[transactionId=TRF1789191625690C0A4, sourceAccountId=SB10001, destinationAccountId=SB82418833, type=TRANSFER, amount=30000.00, timestamp=2026-09-12T11:10:25.691061, status=COMPLETED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.30000.00 | Transaction is 100.00% of account balance]
Transaction[transactionId=TRF17891914586111388, sourceAccountId=SB10001, destinationAccountId=SB82418833, type=TRANSFER, amount=20000.00, timestamp=2026-09-12T11:07:38.617779, status=COMPLETED, riskScore=20, riskLevel=LOW, description=Balance: Rs.50000.00 | Transaction represents 40.00% of account balance]
Transaction[transactionId=WDR1789190468218F855, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=50000.00, timestamp=2026-09-12T10:51:08.223886, status=COMPLETED, riskScore=60, riskLevel=MEDIUM, description=Balance: Rs.50000.00 | Transaction is 100.00% of account balance]
Transaction[transactionId=WDR178919016076302E6, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=50000.00, timestamp=2026-09-12T10:46:00.769277, status=COMPLETED, riskScore=35, riskLevel=MEDIUM, description=WARNING: Large transaction above Rs.50,000]
Transaction[transactionId=WDR17886104375806F6F, sourceAccountId=SB82418833, destinationAccountId=null, type=WITHDRAWAL, amount=200000.00, timestamp=2026-09-05T17:43:57.585454, status=COMPLETED, riskScore=50, riskLevel=MEDIUM, description=Very large transaction]
Transaction[transactionId=WDR1788609113538DB33, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=30000.00, timestamp=2026-09-05T17:21:53.538681, status=COMPLETED, riskScore=0, riskLevel=LOW, description=No high-risk rule triggered]
Transaction[transactionId=WDR17886091133046DD8, sourceAccountId=SB10001, destinationAccountId=null, type=WITHDRAWAL, amount=25000.00, timestamp=2026-09-05T17:21:53.304631, status=COMPLETED, riskScore=0, riskLevel=LOW, description=No high-risk rule triggered]
